ID,Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-15 00:00:00,0,0,0,0,0,0,0,17,13,0,0,0,4,3,31,0,6,9,11,1,0,5,4,12
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-17 00:00:00,0,0,0,0,0,0,18,0,8,21,5,3,8,12,25,7,6,16,0,3,45,16,3,10
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-18 00:00:00,0,0,0,0,0,1,22,0,0,0,0,0,0,3,13,0,12,2,12,1,5,1,1,13
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-19 00:00:00,0,0,0,0,1,0,11,5,9,31,6,7,16,11,61,0,24,0,12,0,45,0,3,15
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-22 00:00:00,0,0,0,0,0,0,10,22,0,0,47,28,14,36,12,1,3,1,6,4,1,11,0,13
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-23 00:00:00,0,0,0,0,0,0,0,20,1,0,1,67,19,3,15,27,7,3,0,23,1,8,0,11
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-24 00:00:00,3,0,0,0,0,1,10,19,0,4,14,3,3,8,20,0,6,6,8,1,6,5,0,12
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-25 00:00:00,0,0,1,0,0,0,8,19,2,0,12,40,17,5,35,0,11,5,9,0,12,4,0,15
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-29 00:00:00,6,0,0,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-30 00:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-05 00:00:00,0,0,1,0,0,0,12,5,0,0,1,0,0,20,31,0,15,6,36,36,14,35,1,9
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-06 00:00:00,3,0,0,0,0,0,19,1,0,0,0,0,0,1,0,32,0,6,22,50,1,13,1,5
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-07 00:00:00,0,0,0,0,0,0,0,40,0,0,0,0,12,8,12,9,11,0,0,5,2,4,12,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-08 00:00:00,0,0,0,0,0,0,20,6,0,0,0,0,0,0,10,1,13,12,0,0,11,24,6,16
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-09 00:00:00,0,0,0,0,0,0,1,32,21,59,14,0,0,10,11,3,6,5,0,5,3,21,7,6
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-12 00:00:00,0,0,0,0,0,0,8,7,8,5,14,2,14,9,14,5,4,2,0,4,8,17,2,17
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-13 00:00:00,0,0,0,0,0,0,10,7,9,13,4,12,13,8,26,14,14,0,4,5,13,17,7,4
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-15 00:00:00,0,0,0,0,0,0,11,6,20,9,0,8,21,10,21,43,7,19,4,12,8,5,13,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-16 00:00:00,0,0,0,0,0,0,0,17,19,5,0,0,0,5,13,0,3,5,4,19,37,15,11,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-19 00:00:00,0,0,0,0,0,0,8,6,14,20,0,16,12,7,11,11,3,8,6,5,4,4,0,12
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-20 00:00:00,0,0,0,0,1,0,7,8,8,5,13,13,0,6,15,12,13,1,3,0,10,8,7,5
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-21 00:00:00,0,0,0,0,0,0,0,17,24,1,0,0,0,1,13,10,6,1,6,49,1,0,5,7
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-22 00:00:00,1,0,0,0,0,0,0,19,28,0,0,7,13,7,15,5,1,8,5,1,10,18,13,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-23 00:00:00,0,0,0,0,0,0,10,2,14,5,0,16,18,1,9,5,7,6,12,19,8,11,8,7
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-26 00:00:00,0,0,0,0,0,0,7,7,15,5,20,2,0,6,15,10,0,0,1,0,17,0,16,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-27 00:00:00,0,0,0,0,0,0,0,16,8,0,0,0,0,6,9,0,5,3,0,5,4,24,1,4
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-28 00:00:00,0,0,0,0,0,0,7,8,9,16,17,9,0,8,11,0,5,3,6,20,5,0,21,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-29 00:00:00,0,1,0,0,4,0,15,5,0,0,0,0,0,0,19,9,10,6,4,0,1,4,11,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-09-30 00:00:00,0,0,0,0,0,1,8,9,7,0,4,27,8,3,18,0,8,2,4,6,18,12,0,13
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-05 00:00:00,0,0,0,0,1,0,6,8,7,4,15,10,0,6,12,0,13,0,5,0,9,10,1,11
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-07 00:00:00,0,0,0,0,0,0,7,12,10,16,0,1,4,10,7,6,14,0,0,39,12,6,9,13
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-10 00:00:00,0,0,0,0,0,0,8,13,4,16,12,4,0,11,14,0,14,1,11,9,13,11,13,0
